Frequency,BASF_R1,BASF_R2,NORDL,BASF_R100,BASF_R200,BASF_R1000,BASF_R500,BASF_R700,BASF_R800,ZANDV
2254,4.37859838061515,4.3784621965298,1.36298595617215,90.3963517387499,35.9666292779858,36.5347342297871,40.1155513150676,56.0923579682815,33.4907366255181,2.75185035735673
2256,4.4215672414375,4.4214321904957,1.39583694719258,89.887409989104,35.9048692158047,36.4255565256881,39.9916866398423,55.8665540586604,33.4004780463327,2.78984782407492
2258,4.4647556509569,4.46462171516756,1.42884300714375,89.3846251727741,35.8433457390699,36.3171247652778,39.8686953676954,55.6427777107285,33.3107806034225,2.8280343724229
2260,4.50816599900207,4.50803316077167,1.4620057992626,88.8878849102428,35.7820574151782,36.209430867349,39.7465677341377,55.4210006500607,33.2216386967162,2.86641208643073
2262,4.55180070647807,4.55166894859875,1.49532701598604,88.3970795478676,35.7210028229228,36.1024668728908,39.6252941267575,55.2011951403851,33.1330468051075,2.90498307751225
2264,4.59566222589385,4.59553153153204,1.52880837864951,87.912102075606,35.6601805523752,35.9962249426474,39.5048650820984,54.9833339704512,33.0449994849533,2.94374948490244
2266,4.63975304190049,4.63962339458584,1.56245163727244,87.4328480476807,35.5995892047679,35.8906973547374,39.3852712826171,54.767390441295,32.9574913686104,2.98271347610631
2268,4.68407567183796,4.68394705545275,1.59625857042006,86.9592155061065,35.539227392379,35.7858765023344,39.2665035537215,54.5533383538799,32.8705171630071,3.02187724735703
2270,4.72863266629824,4.72850506506713,1.63023098513526,86.4911049069312,35.479093738418,35.6817548914054,39.1485528608854,54.341151997107,32.7840716482503,3.06124302408843
2272,4.7734266096939,4.77330000817404,1.66437071692828,86.0284190490872,35.4191868769125,35.5783251385072,39.0314103068342,54.1308061361775,32.6981496762663,3.1008130614146
2274,4.81846012084288,4.81833450391446,1.69867962982267,85.5710630057464,35.3595054525971,35.4755799686357,38.9150671288069,53.9222760012969,32.6127461694744,3.14058964462411
2276,4.86373585356331,4.86361120642023,1.73315961644911,85.1189440580815,35.3000481208026,35.3735122131295,38.7995146958816,53.7155372767064,32.527856119492,3.18057508968382
2278,4.90925649728063,4.90913280542179,1.76781259818345,84.6719716313182,35.2408135473468,35.2721148076252,38.6847445063731,53.510566090035,32.443474585871,3.22077174375527
2280,4.95502477764909,4.95490202686967,1.80264052532526,84.2300572330155,35.1818004084271,35.1713807900618,38.5707481852925,53.3073390019535,32.3595966948633,3.26118198572301
2282,5.0010434571832,5.00092163356646,1.83764537731257,83.7931143934495,35.1230073905131,35.0713032987341,38.4575174818712,53.1058329961308,32.2762176382166,3.30180822673432
2284,5.04731533590489,5.04719442581424,1.87282916297028,83.3610586080507,35.064433190242,34.9718755703925,38.3450442671446,52.9060254694697,32.1933326719967,3.3426529107513
2286,5.09384325200353,5.09372324207463,1.90819392079065,82.9338072817826,35.0060765143134,34.8730909383892,38.2333205315972,52.7078942226224,32.1109371154379,3.38371851511648
